voyage_ID,region_of_purchase,resistance,region_of_landing,vessel_name,
10720,Bight of Benin,Slave insurrection,Martinique,Sirène,
10720,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Saint Philippe,
10720,Senegambia and offshore Atlantic,Slave insurrection,Martinique,Finette,
10720,Sierra Leone,Slave insurrection,Martinique,Jeune Mars,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Entreprenante,
10720,Other Africa,Slave insurrection,Saint-Domingue,Croissant,
10720,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Badine,
10720,Senegambia and offshore Atlantic,Slave insurrection,Guadaloupe,Marie,
10720,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,French Guiana,Saint Pierre,
10720,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,French Guiana,Marie Anne,
10720,Sierra Leone,Slave insurrection,Guadaloupe,Entreprise,
10720,Senegambia and offshore Atlantic,Slave insurrection,Martinique,Cupidon,
10720,Other Africa,Slave insurrection,Martinique,Aimable Claire,
10720,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Saint-Domingue,Amphitrite,
10720,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Fleury,
10720,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Jeune Aimée,
10720,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Fleury,
10720,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Georgette,
10720,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Phénix,
10720,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Bons Frères,
10703,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Saint Nicolas,
10703,Southeast Africa and Indian Ocean islands,Slave insurrection,Southeast Africa and Indian Ocean islands,Licorne,
10709,Sierra Leone,Slave insurrection,Martinique,Samuel Marie,
10433,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Frère et la Soeur,
10710,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Brune,
10710,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Alexandre,
10710,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Saint-Domingue,Flore,
10710,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Saint-Domingue,Antoinette,
10710,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Saint-Domingue,Antoinette,
10710,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Saint-Domingue,Auguste,
10710,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Guadaloupe,Victorieux,
10712,Bight of Benin,Slave insurrection,Saint-Domingue,Aurore,
10712,Bight of Benin,Slave insurrection,French Guiana,Angélique,
10712,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Début,
10712,Sierra Leone,Slave insurrection,Saint-Domingue,Jeune Louis,
10712,Other Africa,Vessel attacked from shore,Saint-Domingue,Julie,
10712,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Reverseau,
10712,Bight of Benin,Slave insurrection,Saint-Domingue,Ville de Basle,
10712,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Amitié,
10713,Other Africa,Slave insurrection,Martinique,Phénix,
10713,Gold Coast,Slave insurrection,Saint-Domingue,Pacifique,
10713,West Central Africa and St. Helena,Slave insurrection,Martinique,Pacifique,
10713,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Roy d'Ambris,
10713,Sierra Leone,Slave insurrection,Saint-Domingue,Jérémie,
10715,Senegambia and offshore Atlantic,Slave insurrection,Grenada,Courrier de Bourbon,
10715,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Annibal,
10715,Bight of Benin,Slave insurrection,Saint-Domingue,Dromadaire,
10715,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Badine,
10715,Bight of Benin,Slave insurrection,Saint-Domingue,Henriette,
10715,Senegambia and offshore Atlantic,Slave insurrection,Martinique,Gloire,
10715,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Marie,
10715,Bight of Benin,Slave insurrection,Martinique,Flore,
10715,Southeast Africa and Indian Ocean islands,Slave insurrection,Saint-Domingue,Breton,
10726,Bight of Benin,Slave insurrection,Martinique,Africain,
10726,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Martinique,Don de Dieu,
10726,Bight of Benin,Slave insurrection,Martinique,Grand Chasseur,
10726,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Auguste,
10726,Bight of Benin,Slave insurrection,Martinique,Espérance,
10726,Other Africa,Slave insurrection,Martinique,Sauveur,
10726,West Central Africa and St. Helena,Slave insurrection,Martinique,Parfaite,
10726,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Fontette,
10726,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Saint-Domingue,Brocanteur,
10726,Bight of Benin,Slave insurrection,Saint-Domingue,Saint René,
10730,Bight of Benin,Slave insurrection,Martinique,Concorde,
20105,Other Africa,Slave insurrection,Antigua,Sally,
